EllipseID,X,Y,Length,StrokeScale,Angle,color
461,269,430,4,1,261.6431057063463,#9B5F6A
462,320,195,2,1,52.07417559503321,#C6B5ED
463,243,417,4,1,91.47246199898062,#30171A
464,411,116,4,1,-54.67900593592506,#C2BB83
465,387,469,2,1,216.28289094089033,#3D4275
466,255,368,2,1,113.27565757259596,#1B1C53
467,270,696,3,1,101.07737831295714,#8C5E66
468,295,30,1,1,-14.801941157105844,#DFB899
469,399,106,3,1,-63.57584585214872,#9B6B86
470,645,248,2,1,60.51058106877527,#DFB899
471,184,73,3,1,-44.152558214546985,#D1A48C
472,160,139,2,1,6.420068916672818,#DFD088
473,373,131,3,1,253.1664435866692,#B5CDED
474,450,516,2,1,96.14303954356741,#190635
475,320,45,1,1,-10.323890253135971,#B290B7
476,635,62,1,1,-49.49506964825329,#B17873
477,673,75,1,1,-60.623217917598396,#C0B7D4
478,3,387,1,1,53.548455037858,#C0B7D4
479,132,661,2,1,152.75315826963902,#B19A88
480,188,279,2,1,-77.15832486822961,#C2B09A
481,404,67,3,1,51.37227810494466,#C0B7D4
482,353,610,2,1,9.290702896621752,#8C594D
483,542,422,3,1,62.79630016315063,#0F0711
484,90,533,2,1,-82.0653460371949,#B290B7
485,251,29,1,1,46.84296293096529,#DFD088
486,329,177,2,1,-27.650482342860897,#D1D3ED
487,686,7,2,1,260.65264731728314,#DFB899
488,734,239,1,1,-78.8247924715809,#D1C5A5
489,364,382,4,1,141.04963048226938,#B5CDED
490,240,64,2,1,24.14916946615172,#DFD7B3
491,29,629,2,1,-50.16972671428351,#B290B7
492,370,616,2,1,-3.817011718618616,#8C5E66
493,179,216,3,1,-54.77137312511269,#B5CDED
494,709,293,2,1,-19.18795959121239,#CBD18C
495,608,455,1,1,-47.31369237438784,#A6808A
496,742,207,1,1,268.59587377116236,#C2B09A
497,257,186,2,1,43.61540857318767,#D1D3ED
498,0,481,2,1,8.995070797684903,#C2B09A
499,464,651,2,1,207.91739751811235,#0D0C35
500,85,396,2,1,264.0403084115836,#B5CDED
501,284,680,3,1,59.15426284937013,#8C5E66
502,385,137,3,1,259.6308054244979,#C39ED4
503,88,668,2,1,238.9396788974236,#C28D83
504,63,677,2,1,-0.9030850898599425,#A6939F
505,357,250,4,1,-15.70183822375165,#A6808A
506,446,287,3,1,86.90277451840343,#070711
507,256,663,2,1,213.1382011760466,#8C5E66
508,138,406,1,1,-8.174716308315453,#B782AA
509,626,232,2,1,60.94354627326851,#C2BB83
510,453,214,2,1,264.81059035875455,#8C594D
511,323,508,4,1,135.17743059870975,#D1C5A5
512,149,640,2,1,-36.79252991028177,#A680A6
513,116,92,1,1,61.86675261834458,#C0B7D4
514,94,271,1,1,32.795117225735865,#D1A48C
515,447,480,2,1,-89.59114891965757,#0F0711
516,112,241,1,1,-27.948196302318493,#D1A48C
517,410,172,3,1,214.62941172171458,#8C594D
518,438,229,4,1,47.747667827941335,#0C0911
519,709,676,2,1,82.39547016609143,#B782AA
520,281,414,4,1,-73.65820526420984,#4E253A
521,293,327,4,1,83.60510845060779,#B290B7
522,354,469,2,1,170.9453083833756,#C6B5ED
523,322,353,4,1,269.7711000835579,#1B1C53
524,487,137,4,1,238.04217457172638,#9B6B86
525,223,140,2,1,14.355641876444238,#D3DF99
526,384,485,3,1,-75.61831908762073,#0A0611
527,7,604,1,1,6.562426293571221,#9B7D83
528,666,432,2,1,24.528026101969132,#A6808A
529,506,603,4,1,87.04855107092904,#B19A88
530,382,48,2,1,24.241012552826007,#DFD7B3
531,183,658,2,1,253.19803850023513,#9EA1D4
532,226,88,1,1,113.0470709013199,#D1D3ED
533,352,559,3,1,151.41650648229668,#B19A88
534,358,509,3,1,180.57406707526954,#D1D3ED
535,271,648,2,1,193.50596613012868,#7C4B3A
536,77,462,2,1,-50.63876497640291,#C2B09A
537,307,399,2,1,239.34222298987984,#C2B09A
538,652,446,1,1,-78.86029468194278,#B1A573
539,515,612,2,1,100.92825881797201,#9B7D83
540,107,23,1,1,111.86063711636908,#D1C5A5
541,315,370,2,1,-47.30412118809974,#C6B5ED
542,221,483,4,1,-52.513575065933225,#8C4D6E
543,469,395,1,1,-48.1742431130688,#0F0711
