EllipseID,X,Y,Length,StrokeScale,Angle,color
313,832,578,2,2,223.9628748092919,#D3CAC5
314,353,389,9,2,-83.89618961987003,#5D2F1F
315,879,578,3,2,51.47462304918848,#CABFB7
316,769,395,3,2,79.21347462195887,#DCD3CD
317,620,131,3,2,35.21759996221593,#D3CAC5
318,553,529,3,2,-77.2878740727268,#321A11
319,589,228,7,2,72.89276391452248,#4D071C
320,461,414,5,2,161.58721973633195,#7D5141
321,395,665,9,2,-27.806899384831723,#78758D
322,22,553,2,2,259.95507409906713,#CAA19F
323,217,490,3,2,-44.393265768913096,#AFA59E
324,983,447,2,2,108.04459917002814,#DCD3CD
325,521,22,2,2,96.38840343606262,#D3CAC5
326,620,260,9,2,75.5697373960642,#DCD3CD
327,171,150,3,2,8.020150693833997,#D3ACAC
328,127,717,3,2,-57.25598653640054,#AFA789
329,556,127,7,2,53.399088958601226,#50505A
330,670,440,10,2,22.39232150536428,#AF917C
331,496,380,5,2,37.766256596219534,#CAA19F
332,955,548,3,2,6.31737849973355,#DCD3CD
333,0,551,3,2,-72.74235086817117,#AFA59E
334,791,472,3,2,37.87199246938929,#DCD3CD
335,721,649,3,2,143.92560897814892,#150E0E
336,179,67,3,2,39.91005080990091,#AFA59E
337,902,311,2,2,83.82670257924458,#CABFB7
338,736,342,2,2,90.97412050800234,#DCD2B3
339,692,117,3,2,48.46651308113471,#DCD3CD
340,252,379,3,2,-66.00560689244142,#CAA88F
341,511,741,6,2,-84.12301085363114,#DCD3CD
342,836,214,2,2,59.0646599940178,#DCD3CD
343,832,29,2,2,144.4791895907265,#D3CAC5
344,826,374,2,2,-35.33878263857211,#DCD2B3
345,194,407,3,2,-49.141333930767786,#BA9B85
346,438,295,4,2,236.68555817034886,#9A4F3B
347,317,356,3,2,-19.92088812311107,#AFA59E
348,625,126,2,2,60.943570226018615,#D3CAC5
349,668,558,4,2,232.23183345455183,#9A4752
350,772,72,2,2,122.70160799273947,#D3CAC5
351,532,127,6,2,54.140893887299356,#3F3E5A
352,18,318,3,2,7.728409475956454,#D3AF9C
353,316,373,3,2,-31.353222284304906,#AF917C
354,735,586,4,2,-31.232702645965958,#8A1D67
355,400,118,7,2,-47.00276078956355,#DCD2B3
356,760,162,2,2,107.19218186613452,#D3C8AC
357,254,197,3,2,-7.604219180477415,#D3C8AC
358,697,397,3,2,72.18600636240832,#D3CAC5
359,647,456,5,2,54.102532456266545,#7D5141
360,106,323,2,2,9.354721728063495,#DCB4B3
361,295,278,3,2,-17.875497601173066,#AFA59E
362,1000,627,3,2,-35.20961282986319,#DCD3CD
363,646,556,5,2,259.428385988601,#42191C
364,538,448,6,2,242.73627696611504,#5D262B
365,45,43,3,2,76.70859560218412,#DCB9A2
366,826,546,3,2,54.908294716252044,#DCD3CD
367,689,563,3,2,7.978385303751693,#321719
368,488,310,4,2,66.49856467936523,#AF917C
369,530,302,7,2,56.48297144898027,#9A6659
370,26,671,3,2,-26.79624246255129,#CAA88F
371,24,377,2,2,44.479746151006744,#CAA19F
372,131,425,2,2,-22.431421702740906,#AFA59E
373,142,695,3,2,-65.39425116283547,#BAB193
374,34,132,3,2,6.068883837589041,#DCB9A2
375,659,180,3,2,62.254273753179504,#D3C8AC
376,931,294,3,2,141.45602524142254,#DCD3CD
377,210,329,3,2,-27.59997136737266,#BA9B85
378,60,182,3,2,47.62627017493055,#AFA59E
379,779,397,2,2,68.87512714234944,#DCD2B3
380,127,647,3,2,-70.27797987830218,#AFA59E
381,776,409,3,2,39.590079080174704,#DCD2B3
382,564,390,5,2,182.67740708862553,#150C0F
