Age,Gender,Income,CountryLive
31,trans,26000,United States of America
37,female,52000,United States of America
23,male,35000,Ireland
24,female,37000,United States of America
36,female,85000,United States of America
23,female,43000,United States of America
29,male,12000,United States of America
27,male,71000,Denmark
25,male,70000,United States of America
25,female,78000,United States of America
24,male,17000,United States of America
22,male,17000,United States of America
38,male,73000,Australia
45,male,42000,United States of America
26,male,10000,Poland
25,male,60000,Ireland
32,female,55000,Australia
36,male,105000,United States of America
32,female,70000,United States of America
26,female,40000,United States of America
38,male,20000,United States of America
18,male,10000,United States of America
23,male,36000,United States of America
27,female,10000,"Netherlands (Holland, Europe)"
34,male,44000,United States of America
27,male,40000,"Netherlands (Holland, Europe)"
26,male,20000,Australia
23,female,17000,United States of America
37,male,75000,United States of America
32,female,18000,France
24,male,62000,United States of America
33,female,28000,Chile
