Age,Gender,Income,CountryLive
29,male,30000,Australia
21,male,9000,United States of America
26,male,30000,United States of America
29,female,50000,United States of America
29,male,25000,United States of America
30,male,65000,United States of America
23,male,16000,United States of America
21,male,22000,United States of America
31,male,50000,United States of America
33,male,40000,United States of America
35,genderqueer,50000,United States of America
32,female,100000,United States of America
29,male,58000,United States of America
29,female,46000,United States of America
37,female,40000,United States of America
21,male,20000,United States of America
22,male,30000,United States of America
27,female,35000,United States of America
21,male,100000,United States of America
26,male,37000,New Zealand
54,female,125000,United States of America
38,male,25000,Poland
24,male,22000,United States of America
28,male,20000,South Africa
23,male,85000,United States of America
22,male,9000,India
33,male,20000,United States of America
22,female,100000,United States of America
27,female,18000,United States of America
29,male,60000,United States of America
31,male,81500,United States of America
28,male,35000,United States of America
30,female,80000,United States of America
29,male,77000,United States of America
28,male,35000,United States of America
28,male,25000,United States of America
29,male,45000,United States of America
32,male,50000,United States of America
35,male,40000,India
23,male,40000,United States of America
29,male,33000,United States of America
28,female,36000,United States of America
28,male,11000,United States of America
39,male,20000,United States of America
34,male,24000,Japan
22,male,15000,Canada
23,male,25000,United Kingdom
32,female,55000,United States of America
25,male,7000,Venezuela
27,genderqueer,50000,United States of America
24,male,63000,United States of America
26,female,10000,United States of America
20,male,50000,United States of America
30,male,60000,United States of America
24,male,35000,Australia
32,male,50000,Canada
31,male,40000,Brazil
30,male,120000,United States of America
32,male,40000,Sweden
24,male,52000,Australia
29,male,36000,Hong Kong
40,female,60000,United States of America
27,male,42000,Singapore
27,female,16000,United States of America
33,male,20000,United States of America
32,male,16000,United States of America
35,male,84000,United States of America
27,male,30000,United States of America
26,female,24000,Canada
24,male,35000,United States of America
39,male,41000,United States of America
29,male,18000,United States of America
55,female,70000,Canada
26,female,33000,United States of America
26,male,7000,United States of America
29,male,25000,United States of America
36,female,50000,United States of America
40,male,30000,United States of America
32,female,110000,United States of America
35,male,60000,United States of America
33,male,80000,United States of America
42,male,42000,United States of America
36,male,40000,United States of America
27,male,80000,Canada
25,male,50000,United States of America
55,female,50000,United States of America
23,male,10000,India
31,male,10000,United States of America
38,female,51000,United States of America
25,male,50000,United States of America
37,male,17000,United States of America
24,male,30000,United States of America
25,male,12000,Mauritius
25,male,40000,United States of America
27,male,24000,United States of America
30,female,42000,Singapore
25,male,12000,United States of America
40,female,24000,United States of America
36,female,95000,Australia
27,female,40000,United States of America
35,male,18000,United States of America
25,male,20000,Argentina
23,male,6163,Chile
29,male,14000,United States of America
29,male,85000,United States of America
27,male,36000,United States of America
22,male,10000,Singapore
25,male,12000,United States of America
23,male,60000,United States of America
34,male,40000,United States of America
43,male,16000,Mexico
16,male,6000,United States of America
25,male,12000,United States of America
26,male,10000,Indonesia
26,male,12000,United States of America
25,male,10000,United States of America
28,male,70000,United States of America
27,male,30000,United States of America
24,trans,25000,United States of America
34,male,24000,United States of America
47,male,80000,United States of America
24,male,34000,United States of America
32,male,49000,United States of America
32,male,36000,United States of America
59,female,21000,United States of America
36,male,24000,Ukraine
38,male,28000,Taiwan
29,male,36000,Guam
25,male,100000,United States of America
26,male,20000,Germany
23,male,67000,United States of America
24,female,50000,United States of America
22,male,25000,United States of America
32,male,15000,Australia
42,female,70000,United States of America
35,trans,32000,United States of America
31,female,23000,United States of America
26,male,24000,Argentina
31,female,20000,United States of America
26,male,30000,Canada
27,male,10000,China
23,male,33000,United States of America
20,male,6000,United States of America
29,male,92000,United States of America
50,female,35000,United States of America
25,male,7700,India
22,male,43488,India
23,male,38000,United States of America
33,male,76000,Australia
25,male,8000,Indonesia
28,male,20000,Greece
18,male,30000,Canada
27,male,50000,United States of America
24,male,125000,United States of America
27,male,72000,United States of America
25,male,6000,India
26,male,12000,Kenya
23,male,6000,India
30,male,25000,United States of America
23,male,12000,Guatemala
24,male,16000,United States of America
27,male,10000,Kazakhstan
28,male,6000,India
30,female,20000,United States of America
24,male,85000,United States of America
29,male,10500,Turkey
22,male,12000,United States of America
22,male,7000,Hungary
32,female,20000,United States of America
28,male,45000,United States of America
26,female,35000,United States of America
20,male,14000,United States of America
29,male,45000,United Kingdom
25,male,6000,India
28,female,20000,Belgium
21,male,80000,United States of America
28,male,60000,France
32,male,20000,United States of America
28,male,40000,United States of America
29,male,36000,United States of America
30,male,20000,United States of America
21,male,10000,India
28,male,37000,United States of America
38,female,205000,United States of America
20,male,8000,United States of America
25,male,40000,United States of America
28,female,110000,United States of America
25,male,10000,Kazakhstan
25,male,6000,Ukraine
31,male,120000,United States of America
41,male,38000,United Kingdom
29,male,15000,Poland
28,male,40000,United States of America
28,male,12000,Slovakia
23,female,10798,Sri Lanka
31,male,15000,Canada
21,male,12000,United States of America
34,male,65000,Germany
50,male,18000,United Kingdom
22,male,12000,India
25,male,15000,Canada
27,male,25000,Canada
28,male,30000,Lithuania
28,female,35000,China
42,male,36000,Denmark
32,male,10000,Thailand
32,male,45000,United Kingdom
37,female,150000,United States of America
26,male,45000,India
27,male,8500,Russia
29,male,6500,Serbia
27,male,10500,United Kingdom
30,male,20000,Hungary
27,male,6000,Turkey
22,male,18000,United States of America
26,male,28000,Philippines
36,male,15000,Bulgaria
29,male,12000,Italy
34,male,7400,Poland
34,male,52000,United Kingdom
33,male,60000,Sweden
26,female,60000,United States of America
28,male,25000,Hong Kong
26,male,6500,Georgia
28,male,32000,United States of America
23,male,11000,France
21,male,8000,Canada
32,male,10000,Mexico
23,male,13000,Croatia
24,male,120000,United Kingdom
25,male,10000,Romania
30,male,20000,Italy
25,female,19000,United States of America
24,male,16502,India
23,female,30000,United States of America
38,female,15000,Spain
26,male,24000,Spain
27,male,8000,Spain
40,male,14000,Romania
22,male,20000,Germany
24,male,20000,Spain
34,male,18238,United Kingdom
29,male,39000,United Kingdom
24,male,10000,Romania
28,female,28000,"Netherlands (Holland, Europe)"
20,male,8000,Germany
37,male,15000,Spain
25,male,28000,United Kingdom
25,male,37000,France
28,male,15000,United States of America
23,male,36800,France
29,male,20000,Spain
17,female,10000,Great Britain
26,male,27000,Spain
29,male,125000,United States of America
26,male,15000,United States of America
27,male,7000,India
28,male,12000,Poland
26,male,25000,Poland
23,male,12000,India
27,male,23100,United Kingdom
32,male,30000,France
24,female,7000,Russia
33,male,30000,India
26,male,40000,United Kingdom
34,male,45000,Malta
30,female,13000,Poland
33,male,10000,Belarus
33,female,40000,Czech Republic
32,male,65000,Canada
24,male,45000,Belgium
22,male,11000,United States of America
29,male,17000,Bulgaria
42,male,300000,Brazil
24,male,24000,Germany
39,male,10000,Germany
30,male,87000,Hong Kong
24,male,25000,United Kingdom
32,female,50000,United Kingdom
33,male,55000,United States of America
34,male,37000,Turkey
26,male,20000,United Kingdom
29,male,8400,Hungary
31,female,40000,Sweden
26,male,50000,France
54,male,12000,Italy
31,male,7000,Taiwan
30,male,80000,United Kingdom
30,male,20000,Czech Republic
31,male,6000,Lithuania
27,male,80000,Ireland
27,male,100000,Ireland
32,male,15000,Poland
38,male,15600,Kenya
24,male,11000,Brazil
37,male,30000,Great Britain
21,male,8100,Brazil
26,male,9000,India
29,male,45000,Italy
20,male,10000,India
29,male,40000,Belgium
38,female,14000,United Kingdom
30,male,10000,Macedonia
32,male,28000,United Kingdom
25,male,44000,United States of America
47,female,30000,United States of America
20,male,11000,United Kingdom
24,agender,20000,Spain
23,male,25000,United Kingdom
28,male,10000,United Kingdom
24,male,16000,Brazil
27,male,7200,India
19,male,20000,Thailand
29,female,33000,United States of America
52,male,20000,"Netherlands (Holland, Europe)"
30,male,44000,Israel
24,male,25000,Morocco
41,male,30000,Poland
25,male,10000,Poland
39,male,85000,Portugal
32,male,12000,Brazil
26,male,12000,Turkey
31,male,9500,Turkey
43,male,25000,"Netherlands (Holland, Europe)"
36,female,55000,United States of America
30,male,92000,United States of America
32,male,50000,United States of America
27,male,68000,United States of America
27,male,75000,United Kingdom
25,male,30000,Sierra Leone
25,male,61000,United States of America
27,male,26000,Germany
31,male,43000,United States of America
33,male,45000,Germany
35,male,50000,United States of America
24,male,7000,Romania
34,male,12000,Greece
27,male,250000,United States of America
26,female,60000,United States of America
24,male,6263,Brazil
27,female,135000,United States of America
33,male,20000,Germany
26,male,80000,China
40,male,10000,United States of America
26,male,43000,Ireland
22,male,9000,Estonia
28,male,40000,United States of America
24,male,60000,United States of America
33,male,85000,Germany
18,male,12000,United States of America
17,male,7000,United Kingdom
16,male,12000,United States of America
23,male,16000,South Africa
33,male,35000,United States of America
24,male,18600,Jamaica
26,male,23000,Brazil
22,male,66000,United States of America
26,female,25000,United States of America
31,male,6500,Brazil
37,female,25000,United States of America
47,male,50000,United States of America
21,female,16000,United States of America
26,male,6000,United States of America
26,female,22000,United States of America
31,male,12000,United States of America
26,male,20000,United States of America
31,female,76000,United States of America
26,male,12000,United States of America
27,female,48000,United States of America
42,male,9000,Poland
27,female,20000,United States of America
34,male,25000,United States of America
27,male,7000,Brazil
43,male,50000,United Kingdom
25,female,28000,Singapore
29,male,10000,Macedonia
25,male,65000,United States of America
26,female,20000,United States of America
24,female,35000,United States of America
33,female,50000,United States of America
40,male,50000,Brazil
37,female,61000,United States of America
28,female,40000,United States of America
22,female,6600,United States of America
27,male,15000,China
27,male,80000,Canada
21,male,18000,United Kingdom
41,male,80000,Switzerland
26,male,50000,United Arab Emirates
27,female,15500,Argentina
35,male,45000,United States of America
35,male,60000,United Kingdom
31,male,8000,Germany
25,female,55000,Australia
24,male,14000,Spain
26,genderqueer,25000,United States of America
29,male,68000,United States of America
32,male,10000,Romania
29,male,10000,Malaysia
25,female,18000,Bulgaria
24,male,7000,Romania
22,male,20000,United Kingdom
30,female,60000,United States of America
26,male,27000,"Netherlands (Holland, Europe)"
28,female,38000,Germany
19,male,22000,United States of America
24,female,13743,Mexico
24,male,52000,United States of America
24,female,50000,United States of America
29,male,9000,Brazil
26,male,65000,United States of America
18,male,8000,Canada
27,male,39905,China
25,male,30000,"Netherlands (Holland, Europe)"
22,male,7400,Russia
35,male,31000,Ireland
32,male,50000,Canada
25,male,12000,Sweden
26,male,85000,United States of America
25,male,60000,Germany
26,male,20000,India
34,male,24000,United States of America
31,male,67000,United States of America
33,female,35000,Colombia
25,male,60000,United States of America
32,male,35000,United States of America
23,male,13000,Russia
26,male,6000,Poland
31,male,35000,United States of America
26,male,80000,United States of America
37,male,50000,Canada
37,female,15000,United States of America
42,male,80000,United States of America
22,female,15000,United States of America
32,male,40000,"Netherlands (Holland, Europe)"
28,female,70000,United States of America
30,male,36000,United States of America
26,male,11000,Turkey
30,female,9000,Jamaica
22,male,20000,United States of America
31,male,13200,Mexico
38,female,50000,United States of America
27,female,60000,United States of America
33,female,45000,United States of America
27,female,35000,United States of America
29,male,28747,Italy
24,male,6000,Russia
32,male,18750,Argentina
33,male,25200,Colombia
21,male,20000,United States of America
30,male,45000,United States of America
28,female,35000,United States of America
25,male,100000,United States of America
29,male,15000,Poland
30,male,110000,United States of America
58,female,15000,United States of America
32,male,6000,United States of America
36,male,36000,United States of America
45,male,20000,United States of America
25,male,10000,Spain
27,male,6000,Argentina
25,female,43000,United States of America
25,agender,30000,United States of America
33,male,42500,United Kingdom
33,male,16000,Hungary
26,male,120000,United States of America
32,male,12000,Greece
22,male,60000,United States of America
22,male,75000,United States of America
21,female,73000,United Kingdom
21,male,10000,Norway
50,male,38000,United States of America
23,male,80000,United States of America
25,male,8000,United States of America
26,female,50000,United States of America
25,male,35000,United States of America
29,male,40000,Brazil
25,male,72000,United States of America
19,male,12000,United States of America
36,female,49500,United States of America
25,male,72000,United States of America
27,female,43000,United States of America
34,male,44000,United States of America
29,female,65000,United Kingdom
30,male,26000,United States of America
28,female,40000,United States of America
25,male,33000,United States of America
54,female,50000,United States of America
27,female,78000,United States of America
20,female,22880,United States of America
27,male,12000,United States of America
33,male,10000,India
40,male,25000,United Kingdom
37,female,80000,United States of America
33,male,62500,United States of America
26,female,80000,United States of America
23,male,6000,United States of America
22,male,10527,India
26,male,42000,United States of America
52,male,17500,"Netherlands (Holland, Europe)"
24,male,10000,Czech Republic
31,female,6000,Serbia
22,male,40000,United States of America
25,female,12000,United States of America
30,male,25000,United States of America
31,male,110000,United States of America
28,male,13000,Germany
30,male,90000,Chile
28,male,77000,United States of America
35,male,100000,United States of America
19,male,6000,United States of America
21,trans,50000,Norway
26,male,6150,India
27,male,18000,Spain
25,female,50000,United States of America
27,male,90000,United States of America
19,male,70000,Kenya
36,male,100000,United Kingdom
25,male,40000,United States of America
23,male,12000,Turkey
26,male,7000,Kenya
26,female,15000,Argentina
29,male,49000,Canada
27,female,43000,United States of America
25,male,12000,Brazil
29,male,120000,United States of America
26,male,7000,France
26,male,30000,"Netherlands (Holland, Europe)"
28,male,6240,Mexico
26,female,19800,Qatar
36,male,15000,United States of America
47,male,65000,United States of America
38,male,47000,United States of America
26,male,45000,United States of America
42,male,60000,Latvia
28,female,50000,United States of America
30,male,75000,United States of America
27,male,66000,United States of America
30,male,112000,United States of America
24,male,88000,United States of America
25,male,10000,Poland
28,female,68000,United States of America
23,female,110000,United States of America
34,female,72000,United States of America
24,male,51000,United States of America
29,female,30000,United States of America
17,male,40000,Mexico
21,male,70000,United States of America
32,male,30000,United States of America
23,male,9800,Brazil
36,male,21650,Ukraine
35,female,51000,United States of America
27,male,38500,United States of America
26,male,97000,United States of America
35,male,200000,United States of America
29,male,29000,Canada
21,male,9000,United Kingdom
47,male,18000,Mexico
28,male,6000,Romania
25,male,20000,United States of America
28,female,20000,United States of America
29,male,38000,United States of America
24,male,20000,Canada
22,male,18000,Poland
26,male,22000,Ireland
24,male,13000,United States of America
29,male,26000,United States of America
36,male,22000,United States of America
21,male,10000,Brazil
26,male,54000,United States of America
32,male,65000,Canada
35,male,81000,United States of America
33,male,55000,United States of America
32,male,82000,United States of America
31,male,40000,United States of America
21,male,12000,United States of America
29,male,30000,Canada
23,genderqueer,12000,United States of America
38,female,23000,United States of America
28,female,15000,United States of America
22,male,90000,United States of America
44,female,7000,United States of America
30,male,85000,United States of America
25,female,44000,United States of America
37,female,50000,United States of America
25,male,35000,United States of America
27,male,48000,United States of America
31,female,29000,United States of America
31,male,40000,United States of America
25,male,10000,Mexico
27,male,10000,Mexico
30,male,8000,United States of America
37,male,75000,United States of America
33,male,25000,Turkey
28,male,13000,United States of America
34,male,35000,Australia
21,male,10000,United States of America
29,male,35000,Iceland
47,male,18000,Spain
28,male,43000,United States of America
21,male,6800,Romania
38,male,42500,United Kingdom
30,female,55000,United States of America
52,male,48000,United States of America
20,male,7000,United States of America
43,male,110000,United States of America
38,male,17000,Brazil
29,male,20000,United Kingdom
21,male,10000,United States of America
45,male,75000,United States of America
24,male,15000,Portugal
27,male,58340,United Kingdom
26,female,30000,United Kingdom
35,male,50000,United States of America
27,male,23000,United States of America
28,male,27000,Spain
26,male,30000,United States of America
26,male,25000,United States of America
24,male,17000,Poland
28,male,50000,United States of America
33,male,42000,United Kingdom
