EllipseID,X,Y,Length,StrokeScale,Angle,color
157,108,138,2,1,-29.281872515369486,#723914
158,68,108,2,1,-73.87945901919616,#9F7679
159,44,182,5,1,78.63507896250816,#725D1D
160,149,20,2,1,165.99270526969093,#9F9596
161,38,171,5,1,45.45499179549855,#2C1B17
162,81,91,3,1,-86.41386089365474,#9D694C
163,65,172,4,1,126.65653784396356,#493229
164,143,133,9,1,104.68863690798578,#9D7C6B
165,186,23,1,1,197.3503594786011,#BB9D8C
166,108,79,3,1,194.56838615891402,#874C25
167,70,151,5,1,84.92738682122976,#493229
168,107,127,3,1,186.9173193842316,#60563A
169,133,137,3,1,75.27229629191544,#2C1B17
170,175,133,1,1,90.0,#FEFEFE
171,96,146,2,1,-62.51494426978854,#60563A
172,64,104,7,1,80.2916923991944,#9D694C
173,182,103,8,1,215.71210265008796,#E1B3B3
174,189,46,2,1,101.98310228401579,#9F9596
175,147,85,5,1,261.4865840768167,#2C1B17
176,128,145,3,1,80.9627774883383,#1E1414
177,137,169,4,1,84.83089114624161,#493F2E
178,19,180,2,1,-20.32452086143911,#2C1B1E
179,38,151,4,1,262.35953438505976,#FEE0EB
180,67,67,4,1,198.52658678031693,#502512
181,146,180,6,1,-85.85817518580771,#101014
182,14,9,1,1,195.05035027099012,#FEFEFE
183,110,187,3,1,194.57209767365703,#503022
184,75,87,3,1,230.0178115396111,#945B34
185,47,175,5,1,241.2790448507402,#3A2024
186,170,105,2,1,177.16872007239309,#FEFEFE
187,61,48,4,1,-72.45264538106767,#3A2024
188,123,173,4,1,262.776233548943,#642E13
189,63,99,5,1,83.64011748526336,#9D7C6B
190,5,64,1,1,90.0,#ECCFEF
191,46,123,8,1,243.26080632953904,#492E30
192,115,89,3,1,221.6070091454249,#947F40
193,140,76,4,1,72.01905147938896,#9D5959
194,92,81,3,1,183.93307789040972,#60563A
195,52,40,6,1,-73.03322024784123,#723914
196,68,130,5,1,85.70530027143687,#1E1916
197,40,63,10,1,-78.24747657228724,#E1B3B3
198,1,174,4,1,-22.9839874884331,#FEE0EB
199,0,13,1,1,90.0,#EFEBEE
200,99,191,2,1,165.28633659904847,#72472A
201,166,124,2,1,51.766017668954156,#FEEBE0
202,159,54,2,1,247.55828941104102,#9F828F
203,8,32,2,1,5.228576687760565,#FEFEFE
204,151,3,1,1,50.73867900474479,#9F9596
205,112,41,2,1,116.14311446756884,#3A221C
206,96,19,4,1,-16.160161912627174,#3A221C
207,172,146,2,1,-24.865339048233636,#EFCFDB
208,141,107,6,1,-75.9027510920294,#744A4A
209,62,108,7,1,81.43293682146121,#3A221C
210,63,160,4,1,-78.23715539427366,#2C241B
211,100,155,2,1,-47.02914236767802,#87312F
212,109,147,2,1,-18.185250384657294,#723914
213,0,21,1,1,90.0,#FEFEFE
214,66,63,4,1,160.91880298929726,#721F1D
215,76,26,4,1,-47.74226224065086,#2C2220
216,133,114,3,1,94.84627018706466,#60563A
217,93,27,3,1,19.305385224621205,#2C2220
218,113,1,2,1,231.6433109515927,#9F8A82
219,183,80,1,1,114.05048391285736,#9F9596
220,83,16,3,1,8.825749631010112,#641B1D
221,66,111,6,1,77.27688775146125,#9D8959
222,56,83,4,1,100.50637011786668,#644D1B
223,29,53,2,1,196.94705899214574,#FEEBE0
224,159,57,2,1,212.14597272621762,#9F8A82
225,23,185,2,1,-14.037183575537128,#3A2024
226,38,32,1,1,-0.9312229504218834,#EFEBEE
227,49,131,8,1,251.86550428926586,#745341
228,54,169,5,1,-64.67744439287867,#603A3A
229,124,96,4,1,29.460598054048106,#604332
230,37,136,2,1,-82.60075523350469,#FEFEFE
231,71,71,4,1,161.70723997213736,#493F2E
232,159,148,4,1,253.76686083003798,#FEE0EB
233,93,188,2,1,242.26318654368586,#874C25
234,189,153,1,1,13.193992743519857,#E1D5CE
235,160,5,2,1,-9.489949598234858,#9F9596
236,110,54,3,1,145.86169811081518,#643B27
237,101,114,4,1,183.60605617100154,#603A3A
238,169,7,2,1,2.705470583721592,#9F828F
239,138,140,6,1,99.42890688609032,#3A2024
240,141,171,3,1,193.55603746273619,#72472A
241,30,89,3,1,264.74868615690536,#FEFEFE
242,173,154,2,1,45.21579164411879,#FEFEFE
243,157,3,2,1,46.58918890896548,#9F9596
244,61,68,5,1,127.00493607231425,#60563A
245,23,101,2,1,237.77007560626652,#E1D5CE
246,46,52,6,1,-72.06937438263208,#746258
247,79,180,3,1,190.7503166241923,#947F40
248,91,18,3,1,40.84662728823599,#502512
249,65,49,4,1,-53.28342372952932,#1E1A1A
250,147,9,2,1,26.572575024182335,#9F9596
251,57,100,6,1,39.996046819400206,#874C25
252,141,78,4,1,239.5519359634825,#9D7C6B
253,103,179,2,1,166.41232966021357,#644D1B
254,181,165,4,1,20.098667660001155,#2C2220
255,116,112,4,1,14.294789475968955,#644D1B
256,64,122,4,1,55.32523299345337,#131214
257,164,101,1,1,113.08067507627115,#FEFEFE
258,52,80,4,1,98.52082040221809,#493229
259,172,6,2,1,2.3168851948066305,#9F9596
260,55,183,5,1,144.28184387342725,#503D18
261,113,87,4,1,234.4114709951882,#945B34
262,156,119,1,1,86.12408611534251,#FEFEFE
263,25,69,1,1,90.0,#FEFEFE
264,177,43,2,1,38.90782545159851,#9F828F
265,89,45,2,1,-20.167878340642375,#642E13
266,71,8,2,1,-30.353352868432324,#9F9596
267,111,171,3,1,267.2192804985442,#723914
268,137,46,4,1,241.99194023971233,#744A4A
269,191,121,2,1,-88.45079828037132,#FEFEFE
270,115,96,3,1,-88.30927502336897,#874C25
271,96,48,2,1,53.7803918485,#642E13
272,27,121,1,1,99.65862739099738,#FEFEFE
273,87,37,4,1,-57.191201508719075,#604332
274,133,62,5,1,53.129980806781894,#74684A
275,95,5,3,1,-7.140687763965232,#9F9596
276,104,23,3,1,21.151624075982895,#604332
277,147,5,1,1,-11.819978594124592,#BB9D8C
278,92,11,5,1,15.267397208791976,#502512
279,36,167,7,1,-14.539526103865981,#3A2F20
280,33,143,1,1,-73.80719910230141,#FEE0EB
281,84,51,3,1,-70.74792527070065,#1E1414
282,29,124,1,1,-72.67530706324936,#EFCFDB
283,103,70,3,1,100.6535267918011,#725D1D
284,103,136,3,1,208.48607922085836,#744A4A
285,52,144,6,1,-87.88638828884424,#9D694C
286,66,4,1,1,63.87244836219661,#9F9596
287,22,87,1,1,4.055280562158089,#FEFEFE
288,170,156,6,1,17.94897222366872,#FEFEFE
289,79,154,2,1,107.56584204155439,#643B27
290,137,107,4,1,76.46629728099623,#74684A
291,170,120,2,1,84.24088911926715,#FEFEFE
292,178,112,1,1,120.92477456648757,#FEFEFE
293,130,35,4,1,135.21766526495048,#604F45
294,9,189,2,1,-24.32828605041219,#131014
295,107,190,2,1,109.6835649541476,#744A4A
296,188,146,1,1,45.0,#FEFEFE
297,109,151,2,1,244.353360435477,#72472A
298,131,167,4,1,81.72846324311195,#493C37
299,171,13,1,1,229.1626618967307,#BB9D8C
300,152,63,5,1,74.1814591631933,#72472A
301,10,85,1,1,90.0,#FEFEFE
302,28,167,10,1,-12.224256569344362,#FEFEFE
303,131,83,4,1,149.02716176478833,#603A3A
304,94,151,2,1,252.14786579569554,#725D1D
305,62,50,4,1,-62.572056708669066,#503022
306,161,154,4,1,16.72139216292527,#FEEBE0
307,37,121,4,1,259.77628104214233,#FEFEFE
308,82,180,3,1,220.05388412843794,#745341
309,165,107,1,1,181.18937342040584,#ECCFEF
310,2,96,1,1,90.0,#FEFEFE
311,187,6,2,1,53.768958141082074,#BB9D8C
312,10,119,1,1,90.0,#FEFEFE
313,72,191,2,1,179.02949073067305,#74684A
314,68,35,3,1,-40.80077565108991,#2C241B
315,47,77,3,1,-67.01656098549148,#1E1619
316,114,148,2,1,268.25915641390327,#493C37
317,49,100,2,1,260.863370229109,#131014
318,136,127,5,1,-35.152379852889496,#503D18
319,71,146,4,1,90.49090587124631,#502512
320,88,120,3,1,193.78947527454702,#875B3F
321,85,19,4,1,-15.343933307392888,#493C37
322,78,172,2,1,230.54095104659729,#603A3A
323,76,173,2,1,217.95977030884814,#604332
324,68,71,4,1,249.08378178817352,#503D18
325,80,40,2,1,22.537376753329298,#131014
326,19,169,9,1,-27.164850327025533,#FEEBE0
327,159,167,3,1,3.8629222789451205,#1E1414
328,13,46,4,1,196.68886961222546,#FEFEFE
329,97,127,3,1,-63.726858137395624,#725D1D
330,69,22,5,1,-39.69638276089847,#492E30
331,28,78,1,1,-89.87510511689081,#E1D5CE
332,112,156,2,1,-60.51433302907347,#723914
333,78,50,3,1,-66.1156470480253,#2C1B17
334,85,7,5,1,-11.429177263938811,#BB8567
335,64,75,4,1,142.91649985327192,#72472A
336,190,59,2,1,19.163787261624023,#9F9596
337,20,163,3,1,16.114533023625512,#FEFEFE
338,81,9,6,1,-13.740491449049756,#9F8A82
339,47,107,5,1,245.62311593041582,#1E1916
340,105,10,6,1,7.02674284776306,#9F8A82
341,168,12,1,1,169.56399739016643,#9F8A82
342,70,44,3,1,-9.018316314412061,#3A2B27
343,64,134,4,1,267.22902014680415,#3A2024
344,20,42,6,1,17.390801915535775,#EFEBEE
345,78,26,3,1,-47.632401965531244,#2C241B
346,59,162,4,1,-44.40553228804015,#50181B
347,8,50,1,1,185.74874348987623,#FEEBE0
348,120,138,5,1,-45.07510874746839,#745341
349,22,119,2,1,38.45352224620316,#FEE0EB
350,73,162,3,1,118.8346317501833,#745341
351,66,96,4,1,88.27415160118329,#9F8A82
352,152,111,8,1,128.90792343209526,#FEE0EB
353,75,141,3,1,89.78418067304041,#50181B
354,154,101,8,1,114.12767110558822,#604332
355,93,161,2,1,-40.495532739533445,#874C25
356,98,108,2,1,228.23133932886466,#725D1D
357,25,114,1,1,170.12246326373796,#FEFEFE
358,31,148,2,1,-77.11530915102551,#FEFEFE
359,107,145,3,1,-9.037961561189249,#493229
360,153,48,5,1,67.55301612371,#BB8567
361,106,61,4,1,148.08841427773575,#7C5034
362,112,20,3,1,39.37098724903942,#60563A
363,94,166,1,1,70.74741345302901,#723914
364,94,71,2,1,88.3458109736446,#642E13
365,113,157,3,1,-73.20100480344453,#493C37
366,51,172,5,1,-32.39692212507737,#9D5959
367,164,89,6,1,215.02674891067682,#C7BC9B
368,52,149,4,1,258.594864175496,#74684A
369,182,154,2,1,-43.391247008617654,#FEFEFE
370,173,10,1,1,45.27348433481181,#C79C9B
371,161,100,5,1,107.60250509282803,#FEFEFE
372,47,42,8,1,-73.496648265495,#9D8959
373,190,29,1,1,201.9749656557567,#9F9596
374,156,20,1,1,185.33053383166256,#9F9596
375,147,189,4,1,267.3236489183439,#1E1414
376,49,6,1,1,234.89219570165275,#9F9596
377,41,179,6,1,77.17660548132025,#493229
378,113,45,2,1,140.22254351624932,#493229
379,27,53,2,1,197.7300109995066,#FEFEFE
380,63,182,3,1,107.07164956212921,#604F45
381,168,150,2,1,28.815400453711078,#FEFEFE
382,152,134,1,1,96.93470721052036,#FEFEFE
383,180,114,1,1,129.767977270249,#FEFEFE
384,63,28,4,1,-54.94816550220975,#2C1B17
385,160,15,1,1,193.41330673876394,#9F8A82
386,74,31,2,1,-36.62460833309322,#2C1B17
387,23,99,2,1,-26.81665107114476,#FEE0EB
388,104,183,3,1,157.01808418260333,#7C6725
389,16,157,1,1,231.33465273641065,#FEFEFE
390,12,155,4,1,147.76997239877102,#FEFEFE
391,71,109,4,1,268.6684778062465,#946B51
392,148,67,4,1,66.59773229631178,#131014
393,92,68,4,1,179.42468841311484,#60563A
394,99,152,2,1,258.6986820242537,#60563A
395,174,122,1,1,264.451561814848,#FEFEFE
396,26,62,1,1,90.0,#FEFEFE
397,68,33,4,1,-39.457365875169046,#3A221C
398,180,64,1,1,115.70628240469227,#9F7679
399,138,157,3,1,91.0546531728473,#2C2220
400,52,178,4,1,-80.70707814008483,#643B27
401,63,88,5,1,84.04109931826001,#7C2725
402,105,112,3,1,-15.509363502894004,#493C37
403,187,34,1,1,254.10030365983073,#9F828F
404,189,58,2,1,43.049517895898035,#9F828F
